Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-09-02,201.51,206.306,200.682,203.0,68.03195038,13807.7110577,202.959212261
2015-09-01,205.88,206.419,200.686,201.58,103.40211183,20997.5385827,203.066825339
2015-08-31,201.0,205.99,200.0,205.989,72.28239033,14665.5524755,202.892466735
2015-08-30,201.292,203.99,200.15,201.017,38.29601019,7740.05793599,202.111339996
2015-08-29,203.0,203.882,199.98,202.1,29.61979631,5974.23837517,201.697483421
2015-08-28,198.16,203.5,195.82,203.0,155.80574721,30979.810441,198.836121233
2015-08-27,201.483,202.961,196.5,199.488,46.95660965,9396.47354591,200.109710133
2015-08-26,195.502,203.0,193.01,201.219,269.2262466,52901.9528733,196.496268627
2015-08-25,181.231,198.01,174.29,195.019,228.35887615,41993.5027611,183.892579387
2015-08-24,204.85,206.16,181.231,181.231,293.65737444,57268.9881653,195.019751418
2015-08-23,208.126,208.616,203.388,204.85,54.75861953,11300.8304271,206.375371112
2015-08-22,212.253,212.579,202.002,205.95,59.44886361,12251.3341197,206.081889136
2015-08-21,216.715,217.877,207.8,211.987,154.43277386,32772.9954805,212.215287347
2015-08-20,208.34,219.24,205.91,214.66,124.64567258,26715.4351186,214.33102783
2015-08-19,214.646,224.417,201.1,207.53,308.81942211,65371.3019264,211.681316802
2015-08-18,236.221,238.13,211.0,214.586,256.88247542,58516.4901202,227.794792247
2015-08-17,235.41,238.698,235.0,236.221,39.52799583,9359.31133897,236.776774093
2015-08-16,239.911,239.911,235.1,237.881,66.69922978,15863.0712943,237.829902184
2015-08-15,238.006,242.0,238.0,239.916,79.81630836,19127.0963571,239.638950361
2015-08-14,239.449,241.85,237.1,238.0,25.46319979,6094.43407758,239.34282132
2015-08-13,242.065,242.642,235.0,237.516,109.44974014,26132.3711616,238.761381508
2015-08-12,245.0,246.0,240.102,240.102,50.13714279,12153.6946657,242.409000381
2015-08-11,241.12,246.0,240.5,245.0,95.39418789,23144.3019931,242.617527388
2015-08-10,245.049,245.38,241.0,242.0,82.86915147,20086.1501437,242.383924384
2015-08-09,240.61,248.478,239.11,242.729,170.22913963,41161.177655,241.798658822
2015-08-08,255.5,255.844,238.01,240.35,126.04897508,31264.7858483,248.036811314
2015-08-07,259.348,259.348,252.944,255.489,164.26331319,42112.9639779,256.374738583
2015-08-06,257.7,259.79,256.001,256.252,74.72862018,19278.1203292,257.975060729
2015-08-05,258.123,260.193,257.5,257.7,49.22216467,12749.4532132,259.018539691
2015-08-04,258.138,261.0,255.0,260.189,72.59169636,18694.7839989,257.533367262
2015-08-03,259.74,261.556,255.792,258.777,56.21750765,14581.2683299,259.372372406
2015-08-02,256.471,260.0,253.0,256.001,42.98992537,11010.4258745,256.116422155
2015-08-01,255.81,259.0,254.75,256.39,65.12056828,16669.3026525,255.976001021
2015-07-31,257.11,260.98,255.0,255.702,52.71586228,13549.4963318,257.028828626
2015-07-30,258.836,262.101,255.341,257.03,72.5339483,18805.2178728,259.260915938
2015-07-29,255.12,259.999,254.536,257.56,45.53171676,11696.1763171,256.879756561
2015-07-28,258.96,260.58,255.0,255.121,119.29488598,30798.6619731,258.172525336
2015-07-27,262.0,263.0,253.18,256.33,108.14987896,27802.6280546,257.074980776
2015-07-26,258.67,263.29,257.8,262.0,38.96797642,10091.3954334,258.966370863
2015-07-25,259.3,261.87,255.01,257.97,56.60534186,14631.8584064,258.489003433
2015-07-24,250.9,267.422,249.0,257.4,208.78312632,53825.5010708,257.805800783
2015-07-23,249.3,255.0,249.15,250.5,62.96128816,15905.3571435,252.621215486
2015-07-22,249.893,253.01,248.0,249.3,34.03095416,8536.4701065,250.844277429
2015-07-21,252.2,255.0,249.5,249.893,95.63513962,24159.2194325,252.618645494
2015-07-20,248.518,255.0,246.26,252.2,42.12177586,10585.8311423,251.314929776
2015-07-19,246.0,253.404,242.392,246.1,100.51848358,24931.7814385,248.031810176
2015-07-18,254.39,256.0,210.0,246.0,246.26847314,58173.6694638,236.220530879
2015-07-17,256.89,256.89,248.918,254.39,46.96555929,11882.3253015,253.000826161
2015-07-16,250.964,264.95,248.518,253.605,105.25460621,26894.0146986,255.513897843
2015-07-15,253.689,266.94,238.0,251.0,136.64820368,34918.7624472,255.537661725
2015-07-14,255.12,259.39,250.41,251.27,51.10232719,12983.4912224,254.068492304
2015-07-13,271.0,271.0,235.04,252.802,114.94905987,29163.366977,253.706876855
2015-07-12,261.19,275.0,260.57,270.0,241.10815194,65007.0505251,269.617804301
2015-07-11,255.39,270.0,251.008,260.5,171.89205509,45061.9209955,262.152436143
2015-07-10,243.8,269.0,238.59,251.41,804.85995419,204516.613668,254.102111309
2015-07-09,244.35,252.82,240.0,243.775,233.46098198,57303.3992092,245.451718412
2015-07-08,241.9,250.882,240.37,245.1,129.01041085,31626.1188001,245.143927469
2015-07-07,245.8,248.0,240.17,241.9,127.52316971,31052.9637157,243.508405463
2015-07-06,247.66,252.87,242.673,245.7,174.21566597,43176.5681424,247.834015971
2015-07-05,234.9,249.643,232.601,247.77,189.50176089,46167.5470507,243.625952782
2015-07-04,232.2,236.4,228.02,234.9,71.78354985,16647.0264672,231.905868434
2015-07-03,232.999,234.67,229.0,232.243,177.88664644,41169.7998268,231.438394341
2015-07-02,232.6,235.9,232.0,232.136,89.05578271,20781.1263654,233.349544892
2015-07-01,233.0,233.0,232.7,233.0,0.8794521,204.87423276,232.956670136
2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-24,215.0,215.5,213.8,214.047,12.98432761,2778.86595326,214.016931545
2015-06-23,217.4,217.6,213.2,213.5,64.55003358,13880.3848444,215.032960862
2015-06-22,215.4,218.303,214.3,217.2,64.67424774,14009.8891142,216.622374496
2015-06-21,216.399,217.8,212.62,215.4,57.9895191,12457.267259,214.819288939
2015-06-20,215.6,217.53,212.0,216.399,78.92632665,16934.3623467,214.559109305
2015-06-19,217.0,219.0,214.29,215.78,100.31237573,21706.1185628,216.385250622
2015-06-18,218.43,222.0,214.6,218.896,114.5290489,24884.9056287,217.280295853
2015-06-17,220.95,222.5,215.0,217.914,157.03257395,34250.8767065,218.113196803
2015-06-16,209.193,223.0,207.4,215.843,237.30610172,51147.1587751,215.532421646
2015-06-15,205.559,209.75,205.0,207.4,53.36917011,11103.9010821,208.058342657
2015-06-14,203.356,206.18,202.81,206.18,16.73818404,3424.72339304,204.605432994
2015-06-13,201.0,206.99,200.5,203.356,96.02229509,19614.7474912,204.272845935
2015-06-12,200.84,203.5,200.79,201.37,34.45140746,6969.82478042,202.308854537
2015-06-11,199.909,203.0,199.38,202.937,79.01575237,15913.1896491,201.392623265
2015-06-10,204.542,206.0,196.589,202.16,72.13253885,14545.5935815,201.650930543
2015-06-09,202.4,205.97,201.501,204.405,80.20587807,16331.4842019,203.619542543
2015-06-08,202.29,204.1,200.1,202.4,66.37461969,13424.4083886,202.252132687
2015-06-07,203.0,205.77,202.29,202.29,52.67103111,10700.7899033,203.162719199
2015-06-06,204.0,205.3,202.2,203.8,29.04751572,5921.04522054,203.839986786
2015-06-05,201.0,205.03,200.1,202.2,46.37691929,9377.60818173,202.204206862
2015-06-04,203.8,205.02,201.0,201.2,83.79077818,16978.3960059,202.628455955
2015-06-03,204.4,206.459,201.6,203.8,73.87489914,15037.9935505,203.560258296
2015-06-02,205.4,208.499,204.01,204.5,35.13970175,7231.97662275,205.806431546
2015-06-01,210.589,211.29,204.0,205.1,77.53483171,16013.0634923,206.527352148
2015-05-31,212.015,213.93,208.4,208.5,92.96426438,19689.2453659,211.793698333
2015-05-30,215.0,215.61,211.0,212.015,68.96943518,14700.0990988,213.139328464
2015-05-29,216.19,216.2,213.0,215.0,14.5740008,3133.57750843,215.011481846
2015-05-28,215.8,218.97,212.857,213.0,71.75101962,15455.7889001,215.408630873
2015-05-27,215.3,216.5,210.9,214.8,155.66302221,33134.7255271,212.861892675
